CNPJ,cd_Ugestora,CNPJ BÁSICO_x,CNPJ BÁSICO_y,CNPJ ORDEM,CNPJ DV,IDENTIFICADOR MATRIZ/FILIAL,NOME FANTASIA,SITUAÇÃO CADASTRAL,DATA SITUAÇÃO CADASTRAL,MOTIVO SITUAÇÃO CADASTRAL,NOME DA CIDADE NO EXTERIOR,PAÍS,DATA DE INÍCIO ATIVIDADE,CNAE FISCAL PRINCIPAL,CNAE FISCAL SECUNDÁRIA,TIPO DE LOGRADOURO,LOGRADOURO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,UF,MUNICÍPIO,DDD 1,TELEFONE 1,DDD 2,TELEFONE 2,DDD DO FAX,FAX,CORREIO ELETRÔNICO,SITUAÇÃO ESPECIAL,DATA DA SITUAÇÃO ESPECIAL,Código,Cidade
02506174000156,101013,02506174,02506174,0001,56,1.0,CASA JOAQUIM CAVALCANTE DE OLIVEIRA LIMA,2.0,19980508.0,0.0,,,19980508.0,8411600.0,,RUA,CORONEL ANTONIO PESSOA,S/N,,CENTRO,58233000.0,PB,1919.0,,,,,,,,,,1919.0,ARARUNA
02512102000111,301129,02512102,02512102,0001,11,1.0,IPSENP,2.0,19980603.0,0.0,,,19980514.0,8430200.0,,RUA,ALMISA ROSA,S/N,,CENTRO,58184000.0,PB,2107.0,,,,,,,,,,2107.0,NOVA PALMEIRA
02512102000111,90002,02512102,02512102,0001,11,1.0,IPSENP,2.0,19980603.0,0.0,,,19980514.0,8430200.0,,RUA,ALMISA ROSA,S/N,,CENTRO,58184000.0,PB,2107.0,,,,,,,,,,2107.0,NOVA PALMEIRA
02512104000100,90002,02512104,02512104,0001,00,1.0,IPSENP,1.0,19980514.0,11.0,,,19980514.0,8430200.0,,RUA,ALMISA ROSA,S/N,,CENTRO,58184000.0,PB,2107.0,,,,,,,,,,2107.0,NOVA PALMEIRA
02541284000159,70001,02541284,02541284,0001,59,1.0,UNIDADE BASICA DE SAUDE COMUNITARIA PROF FATIMA DANTAS,2.0,20190218.0,0.0,,,19980422.0,9430800.0,"9493600,9499500",RUA,ENGENHEIRO ERNESTO DE SOUSA DINIZ,191,,CENTRO,58994000.0,PB,2013.0,83.0,87344601,83.0,96649453.0,,,,,,2013.0,DIAMANTE
02575346000143,601168,02575346,02575346,0001,43,1.0,,2.0,20190808.0,0.0,,,19930915.0,9430800.0,"9493600,9499500",RUA,GONCALO JOSE VITORIANO,236,,CENTRO,58925000.0,PB,2167.0,,,,,,,,,,2167.0,SANTA HELENA
02575346000143,90101,02575346,02575346,0001,43,1.0,,2.0,20190808.0,0.0,,,19930915.0,9430800.0,"9493600,9499500",RUA,GONCALO JOSE VITORIANO,236,,CENTRO,58925000.0,PB,2167.0,,,,,,,,,,2167.0,SANTA HELENA
02585539000185,20001,02585539,02585539,0001,85,1.0,IBPEM,2.0,20190702.0,0.0,,,19980617.0,8430200.0,,RUA,CEL ANTONIO PESSOA,370,ANEXO PREFEITURA MUNICIPAL,CENTRO,58220000.0,PB,1931.0,83.0,33671129,83.0,33671129.0,83.0,33671129,bananeiras@bananeiras.pb.gov.br,,,1931.0,BANANEIRAS
02585539000185,301020,02585539,02585539,0001,85,1.0,IBPEM,2.0,20190702.0,0.0,,,19980617.0,8430200.0,,RUA,CEL ANTONIO PESSOA,370,ANEXO PREFEITURA MUNICIPAL,CENTRO,58220000.0,PB,1931.0,83.0,33671129,83.0,33671129.0,83.0,33671129,bananeiras@bananeiras.pb.gov.br,,,1931.0,BANANEIRAS
02670493000100,601136,02670493,02670493,0001,00,1.0,INPEP,2.0,20190513.0,0.0,,,19980812.0,8430200.0,,PRACA,CANDIDO DE ASSIS QUEIROGA,30,,CENTRO,58860000.0,PB,2119.0,,,,,,,,,,2119.0,PAULISTA
02670493000100,90003,02670493,02670493,0001,00,1.0,INPEP,2.0,20190513.0,0.0,,,19980812.0,8430200.0,,PRACA,CANDIDO DE ASSIS QUEIROGA,30,,CENTRO,58860000.0,PB,2119.0,,,,,,,,,,2119.0,PAULISTA
02716554000115,701141,02716554,02716554,0001,15,1.0,CONSORCIO VALE,2.0,20050611.0,0.0,,,19980904.0,9430800.0,"9493600,9499500",RUA,GETULIO VARGAS,366,,CENTRO,58780000.0,PB,2041.0,83.0,34512386,,,,,,,,2041.0,ITAPORANGA
02739758000171,20001,02739758,02739758,0001,71,1.0,,2.0,20051103.0,0.0,,,19980915.0,6541300.0,,RUA,JOSE ARRUDA DE SOUSA,SN,,CENTRO,58960000.0,PB,1949.0,,,,,,,,,,1949.0,BONITO DE SANTA FE
02739758000171,301033,02739758,02739758,0001,71,1.0,,2.0,20051103.0,0.0,,,19980915.0,6541300.0,,RUA,JOSE ARRUDA DE SOUSA,SN,,CENTRO,58960000.0,PB,1949.0,,,,,,,,,,1949.0,BONITO DE SANTA FE
02749561000113,101014,02749561,02749561,0001,13,1.0,,2.0,19980923.0,0.0,,,19980923.0,9430800.0,"9493600,9499500",RUA,QUITERIA VAZ,S/N,TERREO,CENTRO,58515000.0,PB,542.0,,,,,,,,,,542.0,ZABELE
02906130000113,301185,02906130,02906130,0001,13,1.0,IPESSJ,2.0,19931219.0,0.0,,,19931219.0,8411600.0,,RUA,FRANCISCA TOMAZ DA SILVA,SN,,CENTRO,58815000.0,PB,2185.0,,,,,,,,,,2185.0,SAO JOSE DA LAGOA TAPADA
02906130000113,90201,02906130,02906130,0001,13,1.0,IPESSJ,2.0,19931219.0,0.0,,,19931219.0,8411600.0,,RUA,FRANCISCA TOMAZ DA SILVA,SN,,CENTRO,58815000.0,PB,2185.0,,,,,,,,,,2185.0,SAO JOSE DA LAGOA TAPADA
02912550000102,101083,02912550,02912550,0001,02,1.0,CAMARA MUNICIPAL,2.0,19981230.0,0.0,,,19981230.0,8411600.0,,RUA,LARGO DO MERCADO,67,,CENTRO,58356000.0,PB,2029.0,83.0,2851015,,,83.0,2851015,,,,2029.0,GURINHEM
02912550000102,70001,02912550,02912550,0001,02,1.0,CAMARA MUNICIPAL,2.0,19981230.0,0.0,,,19981230.0,8411600.0,,RUA,LARGO DO MERCADO,67,,CENTRO,58356000.0,PB,2029.0,83.0,2851015,,,83.0,2851015,,,,2029.0,GURINHEM
02916098000157,80001,02916098,02916098,0001,57,1.0,I P E J,4.0,20190131.0,63.0,,,19990105.0,8430200.0,,AVENIDA,BRASIL,380,,CENTRO,58330000.0,PB,2059.0,83.0,2891044,,,,,,,,2059.0,JURIPIRANGA
02920623000108,101161,02920623,02920623,0001,08,1.0,CASA ANTONIO VICTOR DE LUCENA,2.0,19990108.0,0.0,,,19990108.0,8411600.0,,PRACA,RILDO SALVIANO DE FARIAS,S/N,TERREO,BOM JESUS,58465000.0,PB,508.0,,,,,,,,,,508.0,RIACHO DE SANTO ANTONIO
02920623000108,90101,02920623,02920623,0001,08,1.0,CASA ANTONIO VICTOR DE LUCENA,2.0,19990108.0,0.0,,,19990108.0,8411600.0,,PRACA,RILDO SALVIANO DE FARIAS,S/N,TERREO,BOM JESUS,58465000.0,PB,508.0,,,,,,,,,,508.0,RIACHO DE SANTO ANTONIO
02921821000196,101015,02921821,02921821,0001,96,1.0,LIFESA,2.0,20051103.0,0.0,,,19990108.0,2121101.0,"4645101,4644301,4618401,6463800,4649409,4649408,7210000,4646001",AVENIDA,JOAO MACHADO,109,,CENTRO,58013000.0,PB,2051.0,,,,,,,,,,2051.0,JOAO PESSOA
02921821000196,250101,02921821,02921821,0001,96,1.0,LIFESA,2.0,20051103.0,0.0,,,19990108.0,2121101.0,"4645101,4644301,4618401,6463800,4649409,4649408,7210000,4646001",AVENIDA,JOAO MACHADO,109,,CENTRO,58013000.0,PB,2051.0,,,,,,,,,,2051.0,JOAO PESSOA
02921821000277,101015,02921821,02921821,0002,77,2.0,,2.0,20181127.0,0.0,,,20181127.0,4644301.0,4646001,RUA,COSTA BELA VISTA,319,QUADRAQB 1A L-1X          LOTE  PONTA DE CAMPINA LTO,PONTA DE CAMPINA,58101810.0,PB,1965.0,83.0,32143349.0,,,,,LIFESA@LIFESA.COM.BR,,,1965.0,CABEDELO
02931144000197,101004,02931144,02931144,0001,97,1.0,CASA COSSINO FARIAS DE SOUZA,2.0,19990112.0,0.0,,,19990112.0,8411600.0,,RUA,15  DE  NOVEMBRO,S/N,,CENTRO,58680000.0,PB,2231.0,,,,,,,,,,2231.0,TAPEROA
02931144000197,101213,02931144,02931144,0001,97,1.0,CASA COSSINO FARIAS DE SOUZA,2.0,19990112.0,0.0,,,19990112.0,8411600.0,,RUA,15  DE  NOVEMBRO,S/N,,CENTRO,58680000.0,PB,2231.0,,,,,,,,,,2231.0,TAPEROA
02938829000165,80001,02938829,02938829,0001,65,1.0,COMPLEXO HOSPITALAR PROF. HUMBERTO NOBREGA,2.0,19990119.0,0.0,,,19990119.0,8610101.0,,RUA,NOSSA SENHORA DA LUZ,S/N,MANGABEIRA II,MANGABEIRA II,58056693.0,PB,2051.0,83.0,3287171,,,83.0,2387101.0,sesau@sesau.gov.br,,,2051.0,JOAO PESSOA
02938882000166,301114,02938882,02938882,0001,66,1.0,,2.0,20200109.0,0.0,,,19990120.0,8430200.0,,RUA,DR OTAVIO MARIZ,SN,TERREO-SALA 06,CENTRO,58819000.0,PB,486.0,,,,,,,,,,486.0,MARIZOPOLIS
02938882000166,90001,02938882,02938882,0001,66,1.0,,2.0,20200109.0,0.0,,,19990120.0,8430200.0,,RUA,DR OTAVIO MARIZ,SN,TERREO-SALA 06,CENTRO,58819000.0,PB,486.0,,,,,,,,,,486.0,MARIZOPOLIS
02992704000113,101117,02992704,02992704,0001,13,1.0,ORGAO PUBLICO DO PODER LEGISLATIVO MUNICIPAL,2.0,20051103.0,0.0,,,19990225.0,8411600.0,,AVENIDA,GOVERNADOR ANTONIO MARIZ,144,TERREO,CENTRO,58128000.0,PB,488.0,,,,,,,,,,488.0,MATINHAS
02992704000113,90001,02992704,02992704,0001,13,1.0,ORGAO PUBLICO DO PODER LEGISLATIVO MUNICIPAL,2.0,20051103.0,0.0,,,19990225.0,8411600.0,,AVENIDA,GOVERNADOR ANTONIO MARIZ,144,TERREO,CENTRO,58128000.0,PB,488.0,,,,,,,,,,488.0,MATINHAS
03019226000122,101158,03019226,03019226,0001,22,1.0,,2.0,19990310.0,0.0,,,19990310.0,9492800.0,,RUA,MANOEL TOMAZ DE AQUINO,SN,,CENTRO,58235000.0,PB,502.0,,,,,,,,,,502.0,RIACHAO
03019226000122,90101,03019226,03019226,0001,22,1.0,,2.0,19990310.0,0.0,,,19990310.0,9492800.0,,RUA,MANOEL TOMAZ DE AQUINO,SN,,CENTRO,58235000.0,PB,502.0,,,,,,,,,,502.0,RIACHAO
03061856000165,90101,03061856,03061856,0001,65,1.0,,2.0,19970204.0,0.0,,,19970204.0,8610101.0,,RUA,PROJETADA,S/N,,N. S. DE FATIMA,58600000.0,PB,2169.0,,,,,,,,,,2169.0,SANTA LUZIA
03079249000122,101024,03079249,03079249,0001,22,1.0,CASA DAMIAO PINTO DA SILVA,2.0,19990409.0,0.0,,,19990409.0,8411600.0,,RUA,FRANCISCO PINTO,240,,CENTRO,58483000.0,PB,1935.0,83.0,33581199,,,,,CAMARABSM@HOTMAIL.COM,,,1935.0,BARRA DE SAO MIGUEL
03079249000122,20001,03079249,03079249,0001,22,1.0,CASA DAMIAO PINTO DA SILVA,2.0,19990409.0,0.0,,,19990409.0,8411600.0,,RUA,FRANCISCO PINTO,240,,CENTRO,58483000.0,PB,1935.0,83.0,33581199,,,,,CAMARABSM@HOTMAIL.COM,,,1935.0,BARRA DE SAO MIGUEL
03107781000106,302050,03107781,03107781,0001,06,1.0,AMDE,2.0,19990422.0,0.0,,,19990422.0,8413200.0,,RUA,GETULIO VARGAS,828,CASA,PRATA,58400052.0,PB,1981.0,83.0,33412082,,,83.0,33414827,FINANCEIRO@AMDE.CAMPINAGRANDE.PB.GOV.BR,,,1981.0,CAMPINA GRANDE
03107781000106,50001,03107781,03107781,0001,06,1.0,AMDE,2.0,19990422.0,0.0,,,19990422.0,8413200.0,,RUA,GETULIO VARGAS,828,CASA,PRATA,58400052.0,PB,1981.0,83.0,33412082,,,83.0,33414827,FINANCEIRO@AMDE.CAMPINAGRANDE.PB.GOV.BR,,,1981.0,CAMPINA GRANDE
03114093000173,101015,03114093,03114093,0001,73,1.0,SECRETARIA EXTRAORDINARIA DE COMUNICACAO INSTITUCIONAL,2.0,19990331.0,0.0,,,19990331.0,8411600.0,,,JOAO DA MATA (CENTRO ADMINISTRATIVO),S/N,BLOCO II   6 ANDAR,JAGUARIBE,58015020.0,PB,2051.0,83.0,2216643,,,83.0,2411250,,,,2051.0,JOAO PESSOA
03114093000173,290001,03114093,03114093,0001,73,1.0,SECRETARIA EXTRAORDINARIA DE COMUNICACAO INSTITUCIONAL,2.0,19990331.0,0.0,,,19990331.0,8411600.0,,,JOAO DA MATA (CENTRO ADMINISTRATIVO),S/N,BLOCO II   6 ANDAR,JAGUARIBE,58015020.0,PB,2051.0,83.0,2216643,,,83.0,2411250,,,,2051.0,JOAO PESSOA
03318829000125,301144,03318829,03318829,0001,25,1.0,IPAM,2.0,20190225.0,0.0,,,19950209.0,8430200.0,,PRACA,JOAO PESSOA,48,,CENTRO,58393000.0,PB,2133.0,83.0,2761016,,,,,,,,2133.0,PILOES
03318829000125,90003,03318829,03318829,0001,25,1.0,IPAM,2.0,20190225.0,0.0,,,19950209.0,8430200.0,,PRACA,JOAO PESSOA,48,,CENTRO,58393000.0,PB,2133.0,83.0,2761016,,,,,,,,2133.0,PILOES
03391291000184,301135,03391291,03391291,0001,84,1.0,ISSMP,2.0,20181211.0,0.0,,,19990708.0,8430200.0,,RUA,FELIZARDO LEITE,52,,CENTRO,58700020.0,PB,2117.0,83.0,34218396,,,,,,,,2117.0,PATOS
03391291000184,90003,03391291,03391291,0001,84,1.0,ISSMP,2.0,20181211.0,0.0,,,19990708.0,8430200.0,,RUA,FELIZARDO LEITE,52,,CENTRO,58700020.0,PB,2117.0,83.0,34218396,,,,,,,,2117.0,PATOS
03405038000132,70001,03405038,03405038,0001,32,1.0,,2.0,20200530.0,0.0,,,19990922.0,9430800.0,"9493600,9499500",RUA,MANOEL DA PACIENCIA LOUREIRO,13,,CENTRO,58763000.0,PB,2019.0,,,,,,,,,,2019.0,EMAS
03411185000115,101053,03411185,03411185,0001,15,1.0,,2.0,19990924.0,0.0,,,19990924.0,8411600.0,,RUA,JOSE CLEMENTE DE QUEIROZ,S/N,CASA,CENTRO,58595000.0,PB,466.0,83.0,33071075,,,83.0,33071075,cm-caraubas@uol.com.br,,,466.0,CARAUBAS
03411185000115,50001,03411185,03411185,0001,15,1.0,,2.0,19990924.0,0.0,,,19990924.0,8411600.0,,RUA,JOSE CLEMENTE DE QUEIROZ,S/N,CASA,CENTRO,58595000.0,PB,466.0,83.0,33071075,,,83.0,33071075,cm-caraubas@uol.com.br,,,466.0,CARAUBAS
03412879000177,101182,03412879,03412879,0001,77,1.0,EMPRESA PUBLICA,2.0,19990927.0,0.0,,,19990927.0,8411600.0,,RUA,JOAO PESSOA,S/N,TERREO,CENTRO,58590000.0,PB,2181.0,,,,,,,,,,2181.0,SAO JOAO DO CARIRI
03412879000177,90201,03412879,03412879,0001,77,1.0,EMPRESA PUBLICA,2.0,19990927.0,0.0,,,19990927.0,8411600.0,,RUA,JOAO PESSOA,S/N,TERREO,CENTRO,58590000.0,PB,2181.0,,,,,,,,,,2181.0,SAO JOAO DO CARIRI
03465642000154,101181,03465642,03465642,0001,54,1.0,CAMARA MUNIC.DE SAO FRANCISCO - CASA LUIZ P DE OLIVEIRA,2.0,19991025.0,0.0,,,19991025.0,8411600.0,,RUA,SELEDON PEREIRA LOPES,60,TRREO,CENTRO,58818000.0,PB,524.0,83.0,5222307,,,83.0,5222307.0,,,,524.0,SAO FRANCISCO
03465642000154,90201,03465642,03465642,0001,54,1.0,CAMARA MUNIC.DE SAO FRANCISCO - CASA LUIZ P DE OLIVEIRA,2.0,19991025.0,0.0,,,19991025.0,8411600.0,,RUA,SELEDON PEREIRA LOPES,60,TRREO,CENTRO,58818000.0,PB,524.0,83.0,5222307,,,83.0,5222307.0,,,,524.0,SAO FRANCISCO
03474378000115,50001,03474378,03474378,0001,15,1.0,,2.0,19991028.0,0.0,,,19991028.0,9609299.0,,RUA,JOSIAS DE OLIVEIRA,49,CASA,CENTRO,58100100.0,PB,1965.0,,,,,,,,,,1965.0,CABEDELO
03474832000138,10001,03474832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03474832000138,301008,03474832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03490565000192,80001,03490565,03490565,0001,92,1.0,PUBLICO,1.0,19991109.0,11.0,,,19991109.0,8411600.0,,PRACA,JOAO PESSOA,05,TERREO,CENTRO,58660000.0,PB,2055.0,83.0,3821241,,,83.0,3821241,,,,2055.0,JUAZEIRINHO
03506956000158,60001,03506956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03515174000185,101015,03515174,03515174,0001,85,1.0,HOSPITAL FELIPE TIAGO GOMES,2.0,19980327.0,0.0,,,19980327.0,8610101.0,,RUA,FRANCISCO PEREIRA GOMES,15,,MONTE SANTO,58187000.0,PB,2129.0,83.0,3712554,,,83.0,3712554,,,,2129.0,PICUI
03584764000160,101072,03584764,03584764,0001,60,1.0,CMD,2.0,20000108.0,0.0,,,20000108.0,8411600.0,,RUA,MANOEL INACIO DA SILVA,110,,CENTRO,58173000.0,PB,478.0,,,,,,,,,,478.0,DAMIAO
03584764000160,60001,03584764,03584764,0001,60,1.0,CMD,2.0,20000108.0,0.0,,,20000108.0,8411600.0,,RUA,MANOEL INACIO DA SILVA,110,,CENTRO,58173000.0,PB,478.0,,,,,,,,,,478.0,DAMIAO
03593988000138,101028,03593988,03593988,0001,38,1.0,,2.0,20000118.0,0.0,,,20000118.0,8411600.0,,RUA,VICENTE ERGIDIO DOS SANTOS,S/N,TERREO,CENTRO,58922000.0,PB,456.0,,,,,,,,,,456.0,BERNARDINO BATISTA
03593988000138,20001,03593988,03593988,0001,38,1.0,,2.0,20000118.0,0.0,,,20000118.0,8411600.0,,RUA,VICENTE ERGIDIO DOS SANTOS,S/N,TERREO,CENTRO,58922000.0,PB,456.0,,,,,,,,,,456.0,BERNARDINO BATISTA
03595140000148,101015,03595140,03595140,0001,48,1.0,COMPLEXO DE SAUDE DO MUNICIPIO DE GUARABIRA,8.0,20000229.0,1.0,,,19800104.0,8610101.0,,AVENIDA,PREFEITO JOAO PIMENTEL FILHO,447,,CENTRO,58200000.0,PB,2027.0,83.0,2714151,,,83.0,2714151,,,,2027.0,GUARABIRA
03596130000127,100001,03596130,03596130,0001,27,1.0,CASA JOSE ALVES DA SILVA,2.0,20000118.0,0.0,,,20000118.0,8411600.0,,PRACA,NOE RODRIGUES DE LIMA,  S/N,,CENTRO,58339000.0,PB,526.0,83.0,2832414,,,,,,,,526.0,SAO JOSE DOS RAMOS
03596130000127,101194,03596130,03596130,0001,27,1.0,CASA JOSE ALVES DA SILVA,2.0,20000118.0,0.0,,,20000118.0,8411600.0,,PRACA,NOE RODRIGUES DE LIMA,  S/N,,CENTRO,58339000.0,PB,526.0,83.0,2832414,,,,,,,,526.0,SAO JOSE DOS RAMOS
03609595000175,101015,03609595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03618802000158,101015,03618802,03618802,0001,58,1.0,EXPRESSO NACIONAL,1.0,20000201.0,11.0,,,20000201.0,4921301.0,,RUA,TRANQUILINO COELHO DE LEMOS,201,,SANTA ROSA,58102279.0,PB,1981.0,83.0,3332277,,,83.0,3332350,,,,1981.0,CAMPINA GRANDE
03627760000111,90001,03627760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03638304000177,90003,03638304,03638304,0001,77,1.0,FUMHEPLA,4.0,20190116.0,63.0,,,20000214.0,8610101.0,,AVENIDA,HERONIDES MEIRA DE VASCONCELOS,20,,CENTRO,58180000.0,PB,2123.0,83.0,3754028,,,,,,,,2123.0,PEDRA LAVRADA
03703229000180,301080,03703229,03703229,0001,80,1.0,,2.0,20190709.0,0.0,,,20000128.0,8430200.0,,RUA,MANOEL FRANCISCO,3,,CENTRO,58195000.0,PB,2025.0,83.0,81930411,,,,,IPAMFM@GMAIL.COM,,,2025.0,FREI MARTINHO
03703229000180,70001,03703229,03703229,0001,80,1.0,,2.0,20190709.0,0.0,,,20000128.0,8430200.0,,RUA,MANOEL FRANCISCO,3,,CENTRO,58195000.0,PB,2025.0,83.0,81930411,,,,,IPAMFM@GMAIL.COM,,,2025.0,FREI MARTINHO
03778238000130,90001,03778238,03778238,0001,30,1.0,,2.0,20051103.0,0.0,,,20000413.0,8800600.0,,RUA,DOUTOR SILVA MARIZ,S/N,TERREO,CENTRO,58819000.0,PB,486.0,83.0,5212207,,,83.0,5212207,,,,486.0,MARIZOPOLIS
03813487000110,101059,03813487,03813487,0001,10,1.0,,2.0,20000517.0,0.0,,,20000517.0,8411600.0,,AVENIDA,SOLON DE LUCENA,S/N,,CENTRO,58970000.0,PB,1989.0,83.0,34531018,,,83.0,4532581,,,,1989.0,CONCEICAO
03813487000110,60001,03813487,03813487,0001,10,1.0,,2.0,20000517.0,0.0,,,20000517.0,8411600.0,,AVENIDA,SOLON DE LUCENA,S/N,,CENTRO,58970000.0,PB,1989.0,83.0,34531018,,,83.0,4532581,,,,1989.0,CONCEICAO
03820556000112,50001,03820556,03820556,0001,12,1.0,,2.0,20000223.0,0.0,,,20000223.0,9609299.0,,RUA,LEONOR VIANA,324,CASA,POCO,58100100.0,PB,1965.0,,,,,,,,,,1965.0,CABEDELO
03936114000136,20001,03936114,03936114,0001,36,1.0,IPM,2.0,0.0,0.0,,,20000718.0,8430200.0,,RUA,CONEGO JOSE VIANA,107,,CENTRO,58895000.0,PB,1941.0,83.0,4471051,,,83.0,4471056,,,,1941.0,BELEM DO BREJO DO CRUZ
03936114000136,301027,03936114,03936114,0001,36,1.0,IPM,2.0,0.0,0.0,,,20000718.0,8430200.0,,RUA,CONEGO JOSE VIANA,107,,CENTRO,58895000.0,PB,1941.0,83.0,4471051,,,83.0,4471056,,,,1941.0,BELEM DO BREJO DO CRUZ
04044191000144,60001,04044191,04044191,0001,44,1.0,PPS,8.0,20051108.0,1.0,,,20000915.0,9492800.0,,SITIO,PAULO DE SOUZA,S/N,,CATURITE,58455000.0,PB,470.0,83.0,3911550,,,,,,,,470.0,CATURITE
04047430000110,70001,04047430,04047430,0001,10,1.0,CME,4.0,20190131.0,63.0,,,20000919.0,8513900.0,,AVENIDA,POSSIDONIO JOSE DA COSTA,S/N,,CENTRO,58994000.0,PB,2013.0,83.0,4941067,,,,,,,,2013.0,DIAMANTE
04047440000155,70001,04047440,04047440,0001,55,1.0,CMACS-FUNDEF,4.0,20220608.0,63.0,,,20000919.0,9499500.0,,AVENIDA,POSSIDONIO JOSE DA COSTA,S/N,,CENTRO,58994000.0,PB,2013.0,83.0,4941067,,,,,,,,2013.0,DIAMANTE
04047456000168,70001,04047456,04047456,0001,68,1.0,CAOACMAENCQ-DIAMANTE,4.0,20220608.0,63.0,,,20000919.0,9499500.0,,AVENIDA,POSSIDONIO JOSE DA COSTA,S/N,,CENTRO,58994000.0,PB,2013.0,83.0,4941067,,,,,,,,2013.0,DIAMANTE
04047470000161,70001,04047470,04047470,0001,61,1.0,CMAS,4.0,20190131.0,63.0,,,20000919.0,8411600.0,,AVENIDA,POSSIDONIO JOSE DA COSTA,S/N,,CENTRO,58994000.0,PB,2013.0,83.0,4941067,,,,,,,,2013.0,DIAMANTE
04146736000123,101056,04146736,04146736,0001,23,1.0,CASA SEVERINO TIBURCIO DE SOUSA,2.0,20001120.0,0.0,,,20001120.0,8411600.0,,RUA,LOURENCO DANTAS DE GOIS,S/N,,CENTRO,58715000.0,PB,1985.0,,,,,,,,,,1985.0,CATINGUEIRA
04146736000123,50001,04146736,04146736,0001,23,1.0,CASA SEVERINO TIBURCIO DE SOUSA,2.0,20001120.0,0.0,,,20001120.0,8411600.0,,RUA,LOURENCO DANTAS DE GOIS,S/N,,CENTRO,58715000.0,PB,1985.0,,,,,,,,,,1985.0,CATINGUEIRA
04153496000194,30001,04153496,04153496,0001,94,1.0,SECRETARIA DE ADMINISTRACAO,2.0,20231113.0,0.0,,,19990701.0,8430200.0,,RUA,SALOMAO VELOSO,SN,RUA DA PREFEITURA,CENTRO,58326000.0,PB,1961.0,83.0,2861114,,,83.0,2861114,pmcaapora@zaitec.com.br,,,1961.0,CAAPORA
04153496000194,301038,04153496,04153496,0001,94,1.0,SECRETARIA DE ADMINISTRACAO,2.0,20231113.0,0.0,,,19990701.0,8430200.0,,RUA,SALOMAO VELOSO,SN,RUA DA PREFEITURA,CENTRO,58326000.0,PB,1961.0,83.0,2861114,,,83.0,2861114,pmcaapora@zaitec.com.br,,,1961.0,CAAPORA
04223191000101,100001,04223191,04223191,0001,01,1.0,,2.0,20010105.0,0.0,,,20010105.0,8690999.0,,RUA,NORMANDO ARAUJO,S/N,,CENTRO,58625000.0,PB,2199.0,83.0,34621238,,,,,,,,2199.0,SAO MAMEDE
04226001000100,101175,04226001,04226001,0001,00,1.0,,2.0,20010109.0,0.0,,,20010109.0,9430800.0,"9493600,9499500",RUA,JOSE EZEQUIEL DUARTE,S/N,TERREO,CENTRO,58928000.0,PB,514.0,,,,,,,,,,514.0,JOCA CLAUDINO
04226001000100,80001,04226001,04226001,0001,00,1.0,,2.0,20010109.0,0.0,,,20010109.0,9430800.0,"9493600,9499500",RUA,JOSE EZEQUIEL DUARTE,S/N,TERREO,CENTRO,58928000.0,PB,514.0,,,,,,,,,,514.0,JOCA CLAUDINO
04226179000150,50001,04226179,04226179,0001,50,1.0,CAMARA MUNICIPAL,8.0,20010216.0,1.0,,,20010109.0,8411600.0,,RUA,JOSE VIEIRA,02,PRIMEIRO ANDAR,CENTRO,58945000.0,PB,1983.0,83.0,5521126,,,,,,,,1983.0,CARRAPATEIRA
04226327000137,101011,04226327,04226327,0001,37,1.0,,2.0,20010104.0,0.0,,,20010104.0,8411600.0,,PRACA,JOAQUIM MARINHO DA SILVA,36,,CENTRO,58620000.0,PB,2243.0,,,,,,,,,,2243.0,VARZEA
04226327000137,101220,04226327,04226327,0001,37,1.0,,2.0,20010104.0,0.0,,,20010104.0,8411600.0,,PRACA,JOAQUIM MARINHO DA SILVA,36,,CENTRO,58620000.0,PB,2243.0,,,,,,,,,,2243.0,VARZEA
04252692000116,101032,04252692,04252692,0001,16,1.0,CASA LUCAS ALVES DE OLIVEIRA,2.0,20010125.0,0.0,,,20010125.0,8411600.0,,RUA,R. FELIX TRAJANO,S/N,,CENTRO,58887000.0,PB,1947.0,,,,,,,,,,1947.0,BOM SUCESSO
04252692000116,20001,04252692,04252692,0001,16,1.0,CASA LUCAS ALVES DE OLIVEIRA,2.0,20010125.0,0.0,,,20010125.0,8411600.0,,RUA,R. FELIX TRAJANO,S/N,,CENTRO,58887000.0,PB,1947.0,,,,,,,,,,1947.0,BOM SUCESSO
04275034000140,60001,04275034,04275034,0001,40,1.0,FMS CONDADO,2.0,20010209.0,0.0,,,20010209.0,8690999.0,,RUA,PADRE AMANCIO LEITE,395,,CENTRO,58714000.0,PB,1991.0,,,,,,,,,,1991.0,CONDADO
04304844000187,101002,04304844,04304844,0001,87,1.0,CONSU,8.0,20171005.0,1.0,,,20000912.0,8411600.0,,RUA,"VICENTE PRETO,",S/N,,CENTRO,58540000.0,PB,2227.0,83.0,3532292,,,,,,,,2227.0,SUME
